District,Incumbent,Party,Biden,Trump,Total,Biden%,Trump%
MO-03,Blaine Luetkemeyer,(R),"130,857","279,373","417,914",31.3%,66.8%
MO-04,Vicky Hartzler,(R),"117,975","243,844","369,447",31.9%,66.0%
MO-05,Emanuel Cleaver,(D),"208,696","141,661","357,416",58.4%,39.6%
MO-06,Sam Graves,(R),"137,268","248,374","392,499",35.0%,63.3%
MO-07,Billy Long,(R),"105,855","263,623","376,465",28.1%,70.0%
MO-08,Jason Smith,(R),"72,104","261,118","337,764",21.3%,77.3%
MS-01,Trent Kelly,(R),"115,883","222,359","343,231",33.8%,64.8%
MS-02,Bennie Thompson,(D),"191,329","105,700","300,527",63.7%,35.2%
MS-03,Michael Guest,(R),"135,455","210,649","350,527",38.6%,60.1%
MS-04,Steven Palazzo,(R),"96,731","218,056","319,474",30.3%,68.3%
MT-AL,Matt Rosendale,(R),"244,786","343,602","603,640",40.6%,56.9%
NC-01,G.K. Butterfield,(D),"190,053","159,622","352,657",53.9%,45.3%
NC-02,Deborah Ross,(D),"323,249","171,017","502,490",64.3%,34.0%
NC-03,Greg Murphy,(R),"140,561","226,991","372,685",37.7%,60.9%
NC-04,David Price,(D),"332,604","160,810","499,753",66.6%,32.2%
NC-05,Virginia Foxx,(R),"124,653","265,676","394,438",31.6%,67.4%
NC-06,Kathy Manning,(D),"257,257","155,401","417,805",61.6%,37.2%
NC-07,David Rouzer,(R),"187,839","267,880","461,296",40.7%,58.1%
NC-08,Richard Hudson,(R),"177,877","202,789","385,986",46.1%,52.5%
NC-09,Dan Bishop,(R),"187,002","219,264","410,978",45.5%,53.4%
NC-10,Patrick McHenry,(R),"131,228","284,457","420,394",31.2%,67.7%
NC-11,Madison Cawthorn,(R),"196,934","251,903","454,792",43.3%,55.4%
NC-12,Alma Adams,(D),"308,124","125,328","439,717",70.1%,28.5%
NC-13,Ted Budd,(R),"126,861","267,639","399,010",31.8%,67.1%
ND-AL,Kelly Armstrong,(R),"114,902","235,595","359,890",31.9%,65.5%
NE-01,Mike Flood,(R),"132,261","180,290","320,046",41.3%,56.3%
NE-02,Don Bacon,(R),"176,468","154,377","337,754",52.2%,45.7%
NE-03,Adrian Smith,(R),"65,854","222,179","293,912",22.4%,75.6%
NH-01,Chris Pappas,(D),"213,662","188,999","409,239",52.2%,46.2%
NH-02,Annie Kuster,(D),"211,275","176,661","394,594",53.5%,44.8%
NJ-01,Donald Norcross,(D),"242,214","142,822","390,213",62.1%,36.6%
NJ-02,Jeff Van Drew,(R),"183,250","194,366","382,685",47.9%,50.8%
NJ-03,Andy Kim,(D),"217,222","218,016","441,362",49.2%,49.4%
NJ-04,Chris Smith,(R),"191,273","236,896","433,563",44.1%,54.6%
NJ-05,Josh Gottheimer,(D),"224,937","202,419","433,296",51.9%,46.7%
NJ-06,Frank Pallone,(D),"191,464","138,919","334,578",57.2%,41.5%
NJ-07,Tom Malinowski,(D),"239,105","195,248","441,160",54.2%,44.3%
NJ-08,Albio Sires,(D),"182,963","69,207","254,802",71.8%,27.2%
NJ-09,Bill Pascrell,(D),"200,019","118,376","321,623",62.2%,36.8%
NJ-10,Donald Payne,(D),"254,725","45,311","302,548",84.2%,15.0%
NJ-11,Mikie Sherrill,(D),"237,986","208,017","451,995",52.7%,46.0%
NJ-12,Bonnie Watson Coleman,(D),"243,177","113,677","361,527",67.3%,31.4%
NM-01,Melanie Stansbury,(D),"197,294","122,685","327,717",60.2%,37.4%
NM-02,Yvette Herrell,(R),"116,535","148,608","270,577",43.1%,54.9%
NM-03,Teresa Leger Fernandez,(D),"187,785","130,600","325,671",57.7%,40.1%
NV-01,Dina Titus,(D),"143,424","84,976","233,349",61.5%,36.4%
NV-02,Mark Amodei,(R),"171,024","210,255","392,617",43.6%,53.6%
NV-03,Susie Lee,(D),"214,181","213,302","435,797",49.1%,48.9%
NV-04,Steven Horsford,(D),"174,857","161,358","343,613",50.9%,47.0%
NY-01,Lee Zeldin,(R),"182,793","198,826","386,329",47.3%,51.5%
NY-02,Andrew Garbarino,(R),"168,779","183,204","356,124",47.4%,51.4%
NY-03,Tom Suozzi,(D),"216,247","175,089","395,436",54.7%,44.3%
NY-04,Kathleen Rice,(D),"211,700","165,073","380,697",55.6%,43.4%
NY-05,Gregory Meeks,(D),"229,459","44,495","275,508",83.3%,16.2%
NY-06,Grace Meng,(D),"152,725","92,371","247,255",61.8%,37.4%
NY-07,Nydia Velázquez,(D),"190,811","40,366","233,221",81.8%,17.3%
NY-08,Hakeem Jeffries,(D),"234,960","46,711","283,554",82.9%,16.5%
NY-09,Yvette Clarke,(D),"232,347","50,873","285,350",81.4%,17.8%
NY-10,Jerry Nadler,(D),"218,141","65,611","286,527",76.1%,22.9%
NY-11,Nicole Malliotakis,(R),"132,366","163,857","298,863",44.3%,54.8%
NY-12,Carolyn Maloney,(D),"280,012","49,337","332,820",84.1%,14.8%
NY-13,Adriano Espaillat,(D),"233,234","29,526","264,872",88.1%,11.1%
NY-14,Alexandria Ocasio-Cortez,(D),"161,973","57,174","220,982",73.3%,25.9%
NY-15,Ritchie Torres,(D),"171,328","25,855","198,198",86.4%,13.0%
NY-16,Jamaal Bowman,(D),"232,782","73,665","309,170",75.3%,23.8%
NY-17,Mondaire Jones,(D),"212,254","140,322","356,203",59.6%,39.4%
NY-18,Sean Patrick Maloney,(D),"184,181","166,448","355,716",51.8%,46.8%
NY-19,Antonio Delgado,(D),"182,965","177,569","367,482",49.8%,48.3%
NY-20,Paul Tonko,(D),"217,340","141,619","366,382",59.3%,38.7%
NY-21,Elise Stefanik,(R),"141,679","175,345","323,276",43.8%,54.2%
NY-22,Claudia Tenney,(R),"139,998","177,147","323,896",43.2%,54.7%
NY-23,Tom Reed,(R),"139,037","175,243","321,276",43.3%,54.5%
NY-24,John Katko,(R),"186,983","155,222","349,961",53.4%,44.4%
NY-25,Joe Morelle,(D),"218,504","137,342","363,605",60.1%,37.8%
NY-26,Brian Higgins,(D),"209,957","119,410","335,256",62.6%,35.6%
NY-27,Chris Jacobs,(R),"162,337","224,305","394,811",41.1%,56.8%
OH-01,Steve Chabot,(R),"185,947","198,433","390,226",47.7%,50.9%
OH-02,Brad Wenstrup,(R),"165,593","214,600","385,916",42.9%,55.6%
OH-03,Joyce Beatty,(D),"231,278","93,890","330,494",70.0%,28.4%
OH-04,Jim Jordan,(R),"110,336","237,144","353,273",31.2%,67.1%
OH-05,Bob Latta,(R),"141,528","237,762","385,874",36.7%,61.6%
OH-06,Bill Johnson,(R),"91,296","248,554","344,239",26.5%,72.2%
OH-07,Bob Gibbs,(R),"120,706","237,313","363,357",33.2%,65.3%
OH-08,Warren Davidson,(R),"119,846","243,068","368,357",32.5%,66.0%
OH-09,Marcy Kaptur,(D),"184,337","124,569","313,540",58.8%,39.7%
OH-10,Mike Turner,(R),"172,471","188,673","367,302",47.0%,51.4%
OH-11,Shontel Brown,(D),"252,725","60,902","316,805",79.8%,19.2%
OH-12,Troy Balderson,(R),"206,386","232,901","446,172",46.3%,52.2%
OH-13,Tim Ryan,(D),"171,245","159,938","335,896",51.0%,47.6%
OH-14,David Joyce,(R),"185,689","222,983","413,841",44.9%,53.9%
OH-15,Mike Carey,(R),"166,098","221,898","393,949",42.2%,56.3%
OH-16,Anthony Gonzalez,(R),"173,685","232,207","411,139",42.2%,56.5%
OK-01,Kevin Hern,(R),"125,905","202,879","337,495",37.3%,60.1%
OK-02,Markwayne Mullin,(R),"64,353","221,123","290,575",22.1%,76.1%
OK-03,Frank Lucas,(R),"72,141","232,416","311,625",23.1%,74.6%
OK-04,Tom Cole,(R),"101,120","207,214","315,917",32.0%,65.6%
OK-05,Stephanie Bice,(R),"140,371","156,648","305,087",46.0%,51.3%
OR-01,Suzanne Bonamici,(D),"298,753","160,808","472,277",63.3%,34.0%
OR-02,Cliff Bentz,(R),"197,922","261,602","470,391",42.1%,55.6%
OR-03,Earl Blumenauer,(D),"356,659","112,556","479,782",74.3%,23.5%
OR-04,Peter DeFazio,(D),"238,619","219,851","470,962",50.7%,46.7%
OR-05,Kurt Schrader,(D),"248,430","203,631","463,820",53.6%,43.9%
PA-01,Brian Fitzpatrick,(R),"233,446","207,433","445,566",52.4%,46.6%
PA-02,Brendan Boyle,(D),"207,491","86,128","295,805",70.1%,29.1%
PA-03,Dwight Evans,(D),"357,956","31,769","392,103",91.3%,8.1%
PA-04,Madeleine Dean,(D),"276,491","168,191","449,359",61.5%,37.4%
